| table_name            | column_name              | data_type                   | is_nullable | column_default                    |
| --------------------- | ------------------------ | --------------------------- | ----------- | --------------------------------- |
| alert_configurations  | id                       | uuid                        | NO          | uuid_generate_v4()                |
| alert_configurations  | location_id              | uuid                        | YES         | null                              |
| alert_configurations  | low_stock_threshold      | integer                     | YES         | 10                                |
| alert_configurations  | expiry_warning_days      | integer                     | YES         | 30                                |
| alert_configurations  | notification_recipients  | ARRAY                       | YES         | null                              |
| alert_configurations  | is_active                | boolean                     | YES         | true                              |
| alert_configurations  | created_at               | timestamp without time zone | YES         | CURRENT_TIMESTAMP                 |
| alert_configurations  | updated_at               | timestamp without time zone | YES         | CURRENT_TIMESTAMP                 |
| appointments          | id                       | uuid                        | YES         | null                              |
| appointments          | clientId                 | uuid                        | YES         | null                              |
| appointments          | clientName               | text                        | YES         | null                              |
| appointments          | treatmentId              | uuid                        | YES         | null                              |
| appointments          | treatmentName            | character varying           | YES         | null                              |
| appointments          | datetimeISO              | timestamp without time zone | YES         | null                              |
| appointments          | status                   | text                        | YES         | null                              |
| appointments          | staffId                  | uuid                        | YES         | null                              |
| appointments          | staffName                | text                        | YES         | null                              |
| appointments          | notes                    | text                        | YES         | null                              |
| appointments          | duration                 | integer                     | YES         | null                              |
| appointments          | price                    | numeric                     | YES         | null                              |
| appointments          | createdAt                | timestamp with time zone    | YES         | null                              |
| appointments          | updatedAt                | timestamp with time zone    | YES         | null                              |
| audit_log             | id                       | uuid                        | NO          | gen_random_uuid()                 |
| audit_log             | table_name               | character varying           | NO          | null                              |
| audit_log             | record_id                | uuid                        | NO          | null                              |
| audit_log             | action                   | character varying           | NO          | null                              |
| audit_log             | old_values               | jsonb                       | YES         | null                              |
| audit_log             | new_values               | jsonb                       | YES         | null                              |
| audit_log             | changed_fields           | ARRAY                       | YES         | null                              |
| audit_log             | performed_by             | uuid                        | YES         | null                              |
| audit_log             | performed_at             | timestamp with time zone    | YES         | now()                             |
| audit_log             | ip_address               | inet                        | YES         | null                              |
| audit_log             | user_agent               | text                        | YES         | null                              |
| booking_cancellations | id                       | uuid                        | NO          | gen_random_uuid()                 |
| booking_cancellations | booking_id               | uuid                        | NO          | null                              |
| booking_cancellations | cancelled_by             | character varying           | NO          | null                              |
| booking_cancellations | cancellation_reason      | text                        | YES         | null                              |
| booking_cancellations | cancelled_at             | timestamp with time zone    | YES         | now()                             |
| booking_cancellations | policy_id                | uuid                        | YES         | null                              |
| booking_cancellations | penalty_charged          | numeric                     | YES         | 0                                 |
| booking_cancellations | refund_issued            | numeric                     | YES         | 0                                 |
| booking_cancellations | processed_by             | uuid                        | YES         | null                              |
| booking_deposits      | id                       | uuid                        | NO          | gen_random_uuid()                 |
| booking_deposits      | booking_id               | uuid                        | NO          | null                              |
| booking_deposits      | deposit_amount           | numeric                     | NO          | null                              |
| booking_deposits      | deposit_percentage       | numeric                     | YES         | null                              |
| booking_deposits      | payment_id               | uuid                        | YES         | null                              |
| booking_deposits      | status                   | character varying           | YES         | 'pending'::character varying      |
| booking_deposits      | due_date                 | date                        | YES         | null                              |
| booking_deposits      | notes                    | text                        | YES         | null                              |
| booking_deposits      | created_at               | timestamp with time zone    | YES         | now()                             |
| booking_deposits      | updated_at               | timestamp with time zone    | YES         | now()                             |
| booking_product_usage | id                       | uuid                        | NO          | uuid_generate_v4()                |
| booking_product_usage | booking_id               | uuid                        | NO          | null                              |
| booking_product_usage | product_id               | uuid                        | NO          | null                              |
| booking_product_usage | quantity_reserved        | numeric                     | NO          | null                              |
| booking_product_usage | quantity_used            | numeric                     | YES         | null                              |
| booking_product_usage | location_id              | uuid                        | NO          | null                              |
| booking_product_usage | status                   | USER-DEFINED                | YES         | null                              |
| booking_product_usage | reserved_at              | timestamp without time zone | YES         | CURRENT_TIMESTAMP                 |
| booking_product_usage | consumed_at              | timestamp without time zone | YES         | null                              |
| bookings              | id                       | uuid                        | NO          | uuid_generate_v4()                |
| bookings              | client_id                | uuid                        | NO          | null                              |
| bookings              | treatment_id             | uuid                        | NO          | null                              |
| bookings              | staff_id                 | uuid                        | YES         | null                              |
| bookings              | booking_date             | date                        | NO          | null                              |
| bookings              | start_time               | time without time zone      | NO          | null                              |
| bookings              | end_time                 | time without time zone      | NO          | null                              |
| bookings              | status                   | USER-DEFINED                | YES         | null                              |
| bookings              | treatment_location_id    | uuid                        | YES         | null                              |
| bookings              | total_price              | numeric                     | NO          | null                              |
| bookings              | deposit_paid             | numeric                     | YES         | 0                                 |
| bookings              | loyalty_points_earned    | integer                     | YES         | 0                                 |
| bookings              | notes                    | text                        | YES         | null                              |
| bookings              | internal_notes           | text                        | YES         | null                              |
| bookings              | cancellation_reason      | text                        | YES         | null                              |
| bookings              | created_at               | timestamp with time zone    | YES         | (now() AT TIME ZONE 'SAST'::text) |
| bookings              | updated_at               | timestamp with time zone    | YES         | (now() AT TIME ZONE 'SAST'::text) |
| bookings              | confirmed_at             | timestamp with time zone    | YES         | null                              |
| bookings              | completed_at             | timestamp with time zone    | YES         | null                              |
| bookings              | cancelled_at             | timestamp with time zone    | YES         | null                              |
| bookings              | deposit_required         | boolean                     | YES         | false                             |
| bookings              | deposit_amount           | numeric                     | YES         | 0                                 |
| bookings              | payment_status           | character varying           | YES         | 'pending'::character varying      |
| bookings              | amount_paid              | numeric                     | YES         | 0                                 |
| bookings              | cancellation_policy_id   | uuid                        | YES         | null                              |
| bookings              | recurring_appointment_id | uuid                        | YES         | null                              |
| bookings              | confirmation_sent_at     | timestamp with time zone    | YES         | null                              |
| bookings              | reminder_sent_at         | timestamp with time zone    | YES         | null                              |
| bookings              | no_show                  | boolean                     | YES         | false                             |
